edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,single_risk,problem_analysis,9,0,10,0
EDGE,single_risk,problem_analysis,33,0,10,0
EDGE,single_risk,problem_analysis,34,0,5,0
EDGE,single_risk,problem_analysis,36,0,5,0
EDGE,single_risk,theoretical_insight,15,0,43,0
EDGE,single_risk,theoretical_insight,33,0,23,0
EDGE,single_risk,theoretical_insight,21,0,82,0
EDGE,single_risk,theoretical_insight,10,0,58,0
EDGE,single_risk,theoretical_insight,31,0,11,0
EDGE,single_risk,theoretical_insight,7,0,55,0
EDGE,single_risk,theoretical_insight,12,0,124,0
EDGE,single_risk,theoretical_insight,35,0,34,0
EDGE,single_risk,theoretical_insight,11,0,118,0
EDGE,single_risk,theoretical_insight,18,0,139,0
EDGE,single_risk,theoretical_insight,6,0,82,0
EDGE,single_risk,theoretical_insight,24,0,44,0
EDGE,single_risk,theoretical_insight,28,0,19,0
EDGE,single_risk,theoretical_insight,19,0,45,0
EDGE,single_risk,theoretical_insight,13,0,116,0
EDGE,single_risk,theoretical_insight,0,0,115,0
EDGE,single_risk,theoretical_insight,4,0,55,0
EDGE,single_risk,theoretical_insight,1,0,203,0
EDGE,single_risk,theoretical_insight,27,0,85,0
EDGE,single_risk,theoretical_insight,20,0,64,0
EDGE,single_risk,theoretical_insight,37,0,53,0
EDGE,single_risk,theoretical_insight,3,0,106,0
EDGE,single_risk,theoretical_insight,8,0,47,0
EDGE,single_risk,theoretical_insight,23,0,39,0
EDGE,single_risk,theoretical_insight,5,0,22,0
EDGE,single_risk,theoretical_insight,14,0,81,0
EDGE,single_risk,theoretical_insight,39,0,20,0
EDGE,single_risk,theoretical_insight,17,0,86,0
EDGE,single_risk,theoretical_insight,25,0,22,0
EDGE,single_risk,theoretical_insight,38,0,2,0
EDGE,single_risk,theoretical_insight,29,0,56,0
EDGE,single_risk,theoretical_insight,16,0,65,0
EDGE,single_risk,theoretical_insight,9,0,35,0
EDGE,single_risk,theoretical_insight,22,0,25,0
EDGE,single_risk,theoretical_insight,34,0,26,0
EDGE,single_risk,theoretical_insight,26,0,7,0
EDGE,single_risk,theoretical_insight,32,0,15,0
EDGE,single_risk,theoretical_insight,36,0,4,0
EDGE,single_risk,theoretical_insight,2,0,14,0
EDGE,single_risk,theoretical_insight,30,0,2,0
EDGE,single_risk,design_rationale,23,0,63,0
EDGE,single_risk,design_rationale,0,0,70,0
EDGE,single_risk,design_rationale,2,0,46,0
EDGE,single_risk,design_rationale,35,0,34,0
EDGE,single_risk,design_rationale,30,0,49,0
EDGE,single_risk,design_rationale,7,0,148,0
EDGE,single_risk,design_rationale,15,0,122,0
