edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
EDGE,monotonic,11,141,141,7,0,134,0.04964539007092199,0.0,0.950354609929078,Deployment
EDGE,monotonic,25,63,63,10,1,52,0.15873015873015872,0.015873015873015872,0.8253968253968254,Deployment
EDGE,monotonic,26,71,71,6,3,62,0.08450704225352113,0.04225352112676056,0.8732394366197183,Deployment
EDGE,monotonic,8,74,74,31,37,6,0.4189189189189189,0.5,0.08108108108108109,Training
EDGE,monotonic,20,88,88,7,5,76,0.07954545454545454,0.056818181818181816,0.8636363636363636,Deployment
EDGE,monotonic,18,46,46,1,1,44,0.021739130434782608,0.021739130434782608,0.9565217391304348,Deployment
EDGE,monotonic,6,187,187,9,3,175,0.0481283422459893,0.016042780748663103,0.9358288770053476,Deployment
EDGE,monotonic,38,22,22,18,3,1,0.8181818181818182,0.13636363636363635,0.045454545454545456,Design
EDGE,monotonic,12,30,30,3,1,26,0.1,0.03333333333333333,0.8666666666666667,Deployment
EDGE,monotonic,21,67,67,23,2,42,0.34328358208955223,0.029850746268656716,0.6268656716417911,Deployment
EDGE,monotonic,7,47,47,31,11,5,0.6595744680851063,0.23404255319148937,0.10638297872340426,Design
EDGE,monotonic,23,34,34,4,0,30,0.11764705882352941,0.0,0.8823529411764706,Deployment
EDGE,monotonic,22,64,64,22,27,15,0.34375,0.421875,0.234375,Training
EDGE,monotonic,30,34,34,2,10,22,0.058823529411764705,0.29411764705882354,0.6470588235294118,Deployment
EDGE,monotonic,29,8,8,2,0,6,0.25,0.0,0.75,Deployment
EDGE,monotonic,28,6,6,1,0,5,0.16666666666666666,0.0,0.8333333333333334,Deployment
EDGE,monotonic,19,28,28,0,1,27,0.0,0.03571428571428571,0.9642857142857143,Deployment
EDGE,monotonic,17,33,33,5,1,27,0.15151515151515152,0.030303030303030304,0.8181818181818182,Deployment
EDGE,monotonic,16,22,22,7,14,1,0.3181818181818182,0.6363636363636364,0.045454545454545456,Training
EDGE,monotonic,4,42,42,5,36,1,0.11904761904761904,0.8571428571428571,0.023809523809523808,Training
EDGE,monotonic,34,20,20,2,17,1,0.1,0.85,0.05,Training
EDGE,monotonic,39,8,8,4,4,0,0.5,0.5,0.0,Design
EDGE,monotonic,31,1,1,0,0,1,0.0,0.0,1.0,Deployment
EDGE,monotonic,32,6,6,0,5,1,0.0,0.8333333333333334,0.16666666666666666,Training
EDGE,monotonic,27,5,5,0,2,3,0.0,0.4,0.6,Deployment
EDGE,both,9,172,172,16,152,4,0.09302325581395349,0.8837209302325582,0.023255813953488372,Training
EDGE,both,37,48,48,37,3,8,0.7708333333333334,0.0625,0.16666666666666666,Design
EDGE,both,13,139,139,7,130,2,0.050359712230215826,0.935251798561151,0.014388489208633094,Training
EDGE,both,10,108,108,39,60,9,0.3611111111111111,0.5555555555555556,0.08333333333333333,Training
EDGE,both,5,110,110,47,59,4,0.42727272727272725,0.5363636363636364,0.03636363636363636,Training
EDGE,both,2,227,227,11,0,216,0.048458149779735685,0.0,0.9515418502202643,Deployment
