edge_config,mode,node_type,cluster_id,year_min,year_max,year_range,year_mean,year_median,n_nodes_with_year,cluster_size
EDGE,unconstrained,theoretical_insight,36,2006,2023,17,2019.8620689655172,2020.0,29,29
EDGE,unconstrained,theoretical_insight,34,2013,2023,10,2019.9777777777779,2021.0,45,45
EDGE,unconstrained,theoretical_insight,17,2014,2023,9,2019.6272727272728,2019.0,110,110
EDGE,unconstrained,theoretical_insight,0,2003,2023,20,2020.0,2021.0,119,119
EDGE,unconstrained,theoretical_insight,7,2003,2023,20,2017.9558823529412,2018.0,68,68
EDGE,unconstrained,theoretical_insight,14,2012,2023,11,2020.358208955224,2021.0,67,68
EDGE,unconstrained,theoretical_insight,6,2010,2023,13,2020.703488372093,2022.0,172,173
EDGE,unconstrained,theoretical_insight,23,2006,2023,17,2019.2674418604652,2020.0,86,86
EDGE,unconstrained,theoretical_insight,37,2015,2023,8,2021.037037037037,2021.0,54,54
EDGE,unconstrained,theoretical_insight,16,2010,2023,13,2020.0735294117646,2021.0,68,68
EDGE,unconstrained,theoretical_insight,35,2018,2023,5,2020.5384615384614,2021.0,13,13
EDGE,unconstrained,theoretical_insight,22,2012,2023,11,2020.0238095238096,2021.0,42,42
EDGE,unconstrained,theoretical_insight,27,2014,2023,9,2018.8333333333333,2018.5,18,18
EDGE,unconstrained,theoretical_insight,2,2013,2023,10,2021.2463768115942,2022.0,69,69
EDGE,unconstrained,theoretical_insight,21,2005,2023,18,2019.5,2020.5,32,32
EDGE,unconstrained,theoretical_insight,18,2010,2023,13,2018.5714285714287,2019.0,84,84
EDGE,unconstrained,theoretical_insight,28,2015,2023,8,2021.4,2022.0,10,10
EDGE,unconstrained,theoretical_insight,13,2010,2023,13,2019.0112359550562,2020.0,89,89
EDGE,unconstrained,theoretical_insight,31,2018,2023,5,2020.625,2021.0,8,8
EDGE,unconstrained,theoretical_insight,25,2013,2023,10,2019.88,2021.0,25,25
EDGE,unconstrained,theoretical_insight,38,2021,2023,2,2022.0,2022.0,2,2
EDGE,unconstrained,theoretical_insight,10,2002,2023,21,2019.15,2020.0,60,60
EDGE,unconstrained,theoretical_insight,20,2013,2023,10,2022.0816326530612,2022.0,49,49
EDGE,unconstrained,theoretical_insight,30,2018,2022,4,2019.4444444444443,2019.0,18,18
EDGE,unconstrained,theoretical_insight,5,2012,2023,11,2019.3333333333333,2020.0,27,27
EDGE,unconstrained,theoretical_insight,26,2022,2023,1,2022.7142857142858,2023.0,7,7
EDGE,unconstrained,theoretical_insight,29,2014,2023,9,2020.1666666666667,2022.0,12,12
EDGE,unconstrained,theoretical_insight,19,2017,2021,4,2019.4285714285713,2019.0,7,7
EDGE,unconstrained,theoretical_insight,8,2019,2023,4,2021.75,2022.0,12,12
EDGE,unconstrained,design_rationale,1,2010,2023,13,2019.027397260274,2020.0,73,73
EDGE,unconstrained,design_rationale,20,2010,2023,13,2018.774193548387,2020.0,62,62
EDGE,unconstrained,design_rationale,12,2002,2023,21,2019.8450704225352,2021.0,71,71
EDGE,unconstrained,design_rationale,6,2010,2023,13,2021.4102564102564,2022.0,78,82
EDGE,unconstrained,design_rationale,23,2014,2022,8,2019.14,2019.0,50,50
EDGE,unconstrained,design_rationale,14,2006,2023,17,2020.2241379310344,2021.0,174,174
EDGE,unconstrained,design_rationale,7,2012,2023,11,2019.7686567164178,2020.0,134,135
EDGE,unconstrained,design_rationale,26,2018,2023,5,2020.8181818181818,2021.0,11,11
EDGE,unconstrained,design_rationale,15,2011,2023,12,2019.6375,2020.0,80,80
EDGE,unconstrained,design_rationale,25,2011,2023,12,2020.0511627906976,2022.0,215,215
EDGE,unconstrained,design_rationale,34,2012,2023,11,2019.65,2020.0,60,60
EDGE,unconstrained,design_rationale,18,2013,2023,10,2019.65625,2020.0,32,32
EDGE,unconstrained,design_rationale,27,2012,2023,11,2017.9375,2018.0,32,32
EDGE,unconstrained,design_rationale,32,2012,2023,11,2019.611111111111,2019.5,54,54
EDGE,unconstrained,design_rationale,5,2015,2023,8,2020.2777777777778,2021.0,72,72
