edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
0.85,monotonic,implementation_mechanism,0.4753975868225097,40,0.04397359862923622,34,0.303593248128891,3,79.25,-0.4314239881932735,-0.17180433869361872
0.85,monotonic,validation_evidence,0.4241286963224411,40,0.020360494032502174,36,0.2445608228445053,3,88.25,-0.4037682022899389,-0.1795678734779358
0.85,both,risk,0.4699672162532806,40,0.006102107930928469,43,0.4299130141735077,4,71.75,-0.4638651083223521,-0.040054202079772894
0.85,both,intervention,0.4931931495666504,40,0.020438170060515404,41,0.42565470933914185,5,78.25,-0.472754979506135,-0.06753844022750854
0.85,both,all_concepts,0.3644327670335769,40,-0.04796341806650162,87,0.17070123553276062,2,78.5,-0.4123961851000785,-0.1937315315008163
0.85,both,problem_analysis,0.5204304903745651,40,0.04519392177462578,43,0.3151370584964752,6,72.25,-0.47523656859993935,-0.2052934318780899
0.85,both,theoretical_insight,0.4287326782941818,40,0.016705064103007317,35,0.32458585500717163,5,80.75,-0.4120276141911745,-0.10414682328701019
0.85,both,design_rationale,0.4103128015995025,40,0.014945180155336857,30,0.18114835023880005,3,78.0,-0.39536762144416565,-0.22916445136070246
0.85,both,implementation_mechanism,0.4909674078226089,40,0.05019952729344368,39,0.359369695186615,4,83.0,-0.4407678805291652,-0.1315977126359939
0.85,both,validation_evidence,0.4279445856809616,40,0.012438884936273098,39,0.26282063126564026,2,92.25,-0.4155057007446885,-0.16512395441532135
0.9,unconstrained,risk,0.5403291881084442,40,-0.0020956313237547874,58,0.4203132390975952,2,53.75,-0.542424819432199,-0.120015949010849
0.9,unconstrained,intervention,0.4355947077274322,40,0.0332207977771759,34,0.2359258085489273,2,71.5,-0.4023739099502563,-0.1996688991785049
0.9,unconstrained,all_concepts,0.35725998878479,40,-0.0385751947760582,76,0.13758091628551483,2,75.0,-0.3958351835608482,-0.21967907249927515
0.9,unconstrained,problem_analysis,0.4694752246141433,40,0.02884690836071968,36,0.36059921979904175,6,77.5,-0.44062831625342364,-0.10887600481510157
0.9,unconstrained,theoretical_insight,0.4051547646522522,40,0.021886207163333893,32,0.14852659404277802,2,82.75,-0.3832685574889183,-0.2566281706094742
0.9,unconstrained,design_rationale,0.4103822708129883,40,0.008514408953487873,30,0.11851417273283005,3,79.0,-0.4018678618595004,-0.29186809808015823
0.9,unconstrained,implementation_mechanism,0.4500853568315506,40,0.019940301775932312,34,0.3363956809043884,4,85.5,-0.4301450550556183,-0.11368967592716217
