risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
26.0,18.0,26_18,1,10,252,9,242
6.0,25.0,6_25,4,23,252,19,229
12.0,39.0,12_39,1,30,251,29,221
16.0,29.0,16_29,2,64,251,62,187
12,23,12_23,0,38,249,38,211
21,29,21_29,0,15,248,15,233
24,4,24_4,0,32,246,32,214
34.0,6.0,34_6,1,54,246,53,192
35.0,32.0,35_32,1,24,245,23,221
38.0,10.0,38_10,2,15,243,13,228
26,29,26_29,0,150,243,150,93
19.0,15.0,19_15,2,46,242,44,196
18,15,18_15,0,39,241,39,202
6.0,27.0,6_27,5,44,241,39,197
22.0,1.0,22_1,9,30,241,21,211
3.0,35.0,3_35,2,22,240,20,218
35.0,19.0,35_19,3,49,240,46,191
22,32,22_32,0,20,239,20,219
0.0,24.0,0_24,3,35,239,32,204
19,26,19_26,0,14,237,14,223
10,2,10_2,0,9,237,9,228
11.0,38.0,11_38,42,77,236,35,159
30,35,30_35,0,10,234,10,224
8.0,35.0,8_35,11,37,234,26,197
0.0,11.0,0_11,4,28,233,24,205
18.0,26.0,18_26,1,22,230,21,208
15,39,15_39,0,7,228,7,221
6,17,6_17,0,30,222,30,192
37,35,37_35,0,18,221,18,203
17,38,17_38,0,4,221,4,217
